"RBD","COM_NOMBRE","ESTABLECIMIENTO","GRUPO_DEPENDENCIA","PROMEDIO_ESTABLECIMIENTO","LATITUD","LONGITUD"
20347,"LA SERENA","C.E.I.A. AMIGOS DEL PADRE HURTADO","Particular subvencionado",625.3,-29.87327869,-71.24563976
20356,"LA SERENA","COLEGIO DE JOVENES Y ADULTOS BALMACEDA","Particular subvencionado",504.3,-29.91015,-71.2503315
20469,"VICUÑA","CENTRO DE EDUCACION INTEGRAL DE ADULTOS PAIHUEN DE
VICUÑA","Particular subvencionado",491,-30.03434874,-70.7161306
20513,"COQUIMBO","AMAZING GRACE ENGLISH SCHOOL - PEÑUELAS","Particular pagado",706.3,-29.96907,-71.29998
31194,"LA SERENA","COLEGIO MONTEVERDI","Particular subvencionado",524.6,-29.9307,-71.25695
31201,"LA SERENA","SAINT MARY SCHOOL - EL MILAGRO","Particular pagado",596.5,-29.945719,-71.24781
31203,"VICUÑA","COLEGIO DOMINGO SANTA MARIA","Particular subvencionado",577.6,-30.03063,-70.707977
31220,"VICUÑA","COLEGIO DE ADULTOS VALLE DE ELQUI","Particular subvencionado",473.5,-30.028027,-70.722048
31222,"LA SERENA","MARTIN LUTHER KING ADULT SCHOOL","Particular subvencionado",575,-29.880027,-71.238168
40008,"COQUIMBO","INSTITUTO DE EDUCACION PARA EL ADULTO","Particular subvencionado",476.1,-29.962376,-71.26052
40029,"PAIGUANO","LICEO BICENTENARIO DE EXCELENCIA LICEO MISTRALIANO","Municipal",522.9,-30.139,-70.315002
40064,"COQUIMBO","COLEGIO ALTA CORDILLERA","Particular subvencionado",555.8,-29.970329,-71.310333
40076,"COQUIMBO","COLEGIO ADULTOS LAS VIOLETAS","Particular subvencionado",514,-29.979357,-71.31021
40126,"OVALLE","COLEGIO RAUL SILVA HENRIQUEZ","Municipal",551.8,-30.58952,-71.184868
40186,"OVALLE","COLEGIO DE ADULTOS GALILEO","Particular subvencionado",481.5,-30.598452,-71.18413
40194,"LA SERENA","COLEGIO DOMINGO SANTA MARIA","Particular subvencionado",561.6,-29.90295,-71.242706
40206,"LA SERENA","CENT.DE EDUC.INTEG.DE ADULT.PUELMAPU","Particular subvencionado",510,-29.919786,-71.24092
40208,"COQUIMBO","COLEGIO TECNICO PROFESIONAL ALTUE","Particular subvencionado",473.9,-29.953421,-71.248123
40231,"LA SERENA","COLEGIO CORDILLERA","Particular subvencionado",656.4,-29.93931,-71.23967
40298,"LA SERENA","COLEGIO BERNARDO O´HIGGINS","Particular subvencionado",591.9,-29.9272,-71.258331
40319,"SALAMANCA","COLEGIO PART. SUB. CUMBRES DEL CHOAPA","Particular subvencionado",565.1,-31.78686,-70.962822
40321,"LA SERENA","COLEGIO DE ADULTOS BRILLA EL SOL DE LA SERENA","Particular subvencionado",468.1,-29.945272,-71.256645
40354,"LA SERENA","MONTESSORI","Particular pagado",572.9,-29.930232,-71.25769
40400,"COQUIMBO","CENTRO DE EDUCACION INTEGRAL DE ADULTOS SANTA","Particular subvencionado",515,-29.983809,-71.34273
41099,"COQUIMBO","COLEGIO DE JÓVENES Y ADULTOS OSSANDÓN","Particular subvencionado",501.9,-29.964579,-71.345381
